fuente,id_aviso,tipo,titulo,barrio,barrio_corto,precio,moneda,ambientes,dormitorios,banos,metros_cubiertos,metros_totales,expensas_ars,antiguedad,usd_por_m2,url
argenprop,18246091,Departamento,"Villa Urquiza Piso Palier privado, Balcón Terraza Hab En Suite 3 Dormitorios,","Blanco encalada  al 4700, Villa Urquiza, Capital Federal",Villa Urquiza,390000.0,USD,,3.0,,150.0,,230000.0,35.0,2600.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-5-ambientes--18246091
argenprop,18664794,Departamento,"Venta Departamento Av. Corrientes: Confort, Seguridad y Gran Accesibilidad","Av. Corrientes al 4200, Almagro, Capital Federal",Almagro,161900.0,USD,,2.0,,84.0,,240000.0,50.0,1927.4,https://www.argenprop.com/departamento-en-venta-en-almagro-3-ambientes--18664794
argenprop,19077470,Departamento,Venta departamento 2 ambientes con terraza propia 90m2 totales vista abierta piscina villa urquiza,"Andonaegui al 1200, Villa Urquiza, Capital Federal",Villa Urquiza,175000.0,USD,,1.0,,50.0,,200000.0,8.0,3500.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-2-ambientes--19077470
argenprop,19348703,Departamento,Venta 3 Ambientes Frente balcón corrido Impecable super luminoso,"Av.De Los Incas  al 4600, Villa Urquiza, Capital Federal",Villa Urquiza,142000.0,USD,,2.0,,63.0,,240000.0,35.0,2254.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-3-ambientes--19348703
argenprop,18077894,Departamento,Departamento 2 ambientes en Belgrano,"Av del libertador  al 5500, Belgrano, Capital Federal",Belgrano,112000.0,USD,,1.0,,40.0,,,40.0,2800.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-2-ambientes--18077894
argenprop,19580901,Departamento,Semipiso 59 m2. 2 amb en Nuñez. Apto Crédito / Profesional,"Arias 1600, Nuñez, Capital Federal",Nuñez,158000.0,USD,,1.0,,50.0,,200000.0,18.0,3160.0,https://www.argenprop.com/departamento-en-venta-en-nunez-2-ambientes--19580901
argenprop,19581021,Departamento,"Vendo departamento 2 amb c/ patio, Villa Urquiza (corredor Donado)","DONADO 2300, Piso PB, Urquiza R, Villa Urquiza, Capital Federal",Villa Urquiza,89000.0,USD,,1.0,1.0,,,106000.0,50.0,,https://www.argenprop.com/departamento-en-venta-en-urquiza-r-2-ambientes--19581021
argenprop,19342899,Departamento,Oportunidad Unica - Venta Monoambiente Belgrano Chico,"La Pampa 1200, Piso 1, Belgrano Chico, Belgrano, Capital Federal",Belgrano,63500.0,USD,,,1.0,24.0,,106000.0,50.0,2645.8,https://www.argenprop.com/departamento-en-venta-en-belgrano-chico-1-ambiente--19342899
argenprop,19244161,Departamento,Hermoso 3 ambientes más dependencia  Cochera y baulera,"Manuel Ugarte 1800, Nuñez, Capital Federal",Nuñez,365000.0,USD,,2.0,,94.0,,490000.0,10.0,3883.0,https://www.argenprop.com/departamento-en-venta-en-nunez-3-ambientes--19244161
argenprop,19605602,Departamento,Venta Pent House Duplex con terraza y pileta propia/Cochera,"Franklin al 2200, Caballito Norte, Caballito, Capital Federal",Caballito,450000.0,USD,,3.0,3.0,,,,0.0,,https://www.argenprop.com/departamento-en-venta-en-caballito-norte-4-ambientes--19605602
argenprop,17701663,Departamento,Comodísimo departamento de cuatro ambientes con cochera en venta en Villa Urquiza.,"Blanco Encalada 5283, Villa Urquiza, Capital Federal",Villa Urquiza,175000.0,USD,,3.0,,65.0,,210000.0,50.0,2692.3,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-4-ambientes--17701663
argenprop,19575867,Departamento,Venta Departamento 1 ambiente balcón terraza en Villa Urquiza,"Alvarez Thomas al 3600, Villa Urquiza, Capital Federal",Villa Urquiza,85000.0,USD,,1.0,,34.0,,156000.0,15.0,2500.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--19575867
argenprop,19091396,Departamento,Venta Departamento 2 Ambientes Nuñez a estrenar,"Av. Cramer al 3300, Nuñez, Capital Federal",Nuñez,132000.0,USD,,1.0,,25.0,,167400.0,0.0,5280.0,https://www.argenprop.com/departamento-en-venta-en-nunez-2-ambientes--19091396
